# scripts/shadow-meter-audit.tsv — 存疑档案人工认对清单(刀E §E3.5 + 刀F §F1 两级判据重生成于 2026-07-31)
# 打底口径:meter 的 区域(area)/位置(spot)/企业名称(tenant_name)/编码(code) 四项全空 且已有读数 —— 共 310 块 / 338 条读数。
# 【§F1 修正】四空是「档案完整度」条件,不是「重复性」条件,故拆两级(mark 列):
#   shadow(10 块 / 10 条,全在一期)= 四空 **且** 能配到一块档案完整(area/code/tenant_name 至少一项非空)的
#       同 (kind, zone, building_id) 表、且**同月 prev_total + curr_total + factor_snap 三格全等**
#       → 疑似同一块物理表的第二份档案;V75 标 suspect='shadow',用量**不计入**楼栋分表Σ,屏上红底。
#   incomplete(300 块 / 328 条)= 四空但配不上 → 只是档案没填全,当真表处理:用量**照常计入Σ**,屏上黄底。
#       含 5 块挂栋的二期临电(1415 黎镇源临电/1416 佳亿兴电/1417 广聚运通电/1418 欧伟杰临电/1419 广联临电)——
#       刀E 把它们误标 shadow 会永久踢出Σ,今天读数恰为 0.00 不暴雷,下月抄出非零就静默消失。
#       也含 289 块宿舍表:它们是尖/峰/平/谷四列被拆成四块表(「陈昌辉尖/峰/平/谷」对应真档案「陈昌辉总」),
#       不是同一块表的两份档案,读数本就不相等 —— 配不上是正确的,归 incomplete 只做展示提示。
# 本刀只标不删不合并 —— 合并需人工逐条认对,认错就丢读数。
# 列:mark 两级标 | meter_id | kind | zone | building_id | name 标识名 | ownership |
#     ym | prev_total | curr_total | factor_snap | usage_qty 用量 |
#     match_id/match_name/match_area/match_spot/match_tenant/match_code 三格全等配到的档案完整表(仅 shadow 有) |
#     name_hint_id/name_hint_name 标识名线索(「X尖/峰/平/谷」→「X总」,仅供人工参考,不参与判据)
# 解除:在抄表屏「只看存疑」筛出 → 打开档案抽屉补齐区域/位置/编码并保存一次,后端自动清标(MeterService.apply)。
mark	meter_id	kind	zone	building_id	name	ownership	ym	prev_total	curr_total	factor_snap	usage_qty	match_id	match_name	match_area	match_spot	match_tenant	match_code	name_hint_id	name_hint_name
shadow	1139	elec	p1	22	邱彩云东侧公共电	share	2024-02	1993.20	1993.20	1.00	0.00	1425	D座-一楼东侧-电表①	D座	一楼东侧	公共用电/宇劲	NULL	NULL	NULL
shadow	1140	elec	p1	13	幸悦电1	share	2024-02	4153.80	4169.89	1.00	16.09	231	孙洋洋电	A座	四楼437室	幸悦	220605000134	NULL	NULL
shadow	1141	elec	p1	13	黄路生电	share	2024-02	9625.40	9625.40	1.00	0.00	239	暨南医美电	A座	四楼420室	黄路生	220605000146	NULL	NULL
shadow	1142	elec	p1	13	沈振电	share	2024-02	2416.06	2448.37	1.00	32.31	240	辰威电	A座	四楼422室	沈振	220605000148	NULL	NULL
shadow	1143	elec	p1	13	周应佳电	share	2024-02	15.83	16.82	60.00	59.40	1424	A座-四楼427室-电表①	A座	四楼428室	周应佳	220605000033	NULL	NULL
shadow	1144	elec	p1	13	林观平620电	share	2024-02	27.98	27.98	1.00	0.00	257	次生代620电	A座	六楼620室	林观平	221103010139	NULL	NULL
shadow	1145	elec	p1	21	李卓伦电	share	2024-02	634.53	634.53	1.00	0.00	306	优嘉蓓C222电	C座	二楼222室	（空）	221103010146	NULL	NULL
shadow	1146	elec	p1	23	光伏工程	share	2024-02	474.00	474.00	1.00	0.00	1426	E座	E座	NULL	光伏工程用电	NULL	NULL	NULL
shadow	1147	elec	p1	24	F401电2	share	2024-02	28.63	28.63	120.00	0.00	1428	F座-四楼401室-电表②	F座	四楼401室	（空）F座1楼楼梯间	NULL	NULL	NULL
incomplete	1148	water	p1	NULL	幸悦水	share	2024-02	22.00	22.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
shadow	1149	water	p1	NULL	沈振水	share	2024-02	1.00	1.00	1.00	0.00	395	消防水1	NULL	1	消防水表1	2311956771	NULL	NULL
incomplete	1150	water	p1	NULL	东佛水	share	2024-02	16.00	16.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1151	water	p1	NULL	E座东侧总水2	share	2024-02	0.00	NULL	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1152	water	p1	NULL	翔海E301东侧水新	share	2024-02	153.00	154.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1153	water	p1	NULL	翔海E301西侧水新	share	2024-02	53.00	54.00	1.00	1.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1415	elec	p2	30	黎镇源临电	share	2024-02	1968.60	1968.60	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1416	elec	p2	31	佳亿兴电	share	2024-02	5695.86	5695.86	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1417	elec	p2	31	广聚运通电	share	2024-02	7186.02	7186.02	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1418	elec	p2	31	欧伟杰临电	share	2024-02	1445.40	1445.40	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1419	elec	p2	33	广联临电	share	2024-02	323.00	323.00	1.00	0.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	1420	water	p2	NULL	火炬园办公室水	share	2024-02	26.00	32.00	1.00	6.00	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
incomplete	511	elec	dorm	NULL	陈昌辉尖	share	2024-02	2177.65	2203.66	1.00	26.01	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	511	elec	dorm	NULL	陈昌辉尖	share	2024-05	2720.02	2998.54	1.00	278.52	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	512	elec	dorm	NULL	陈昌辉峰	share	2024-02	3402.63	3433.64	1.00	31.01	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	512	elec	dorm	NULL	陈昌辉峰	share	2024-05	4439.52	4924.03	1.00	484.51	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
incomplete	513	elec	dorm	NULL	陈昌辉平	share	2024-02	5542.95	5604.73	1.00	61.78	NULL	NULL	NULL	NULL	NULL	NULL	510	陈昌辉总
