# scripts/meter-loc-todo.tsv — 电表位置待补清单(刀G §G3,只读 SQL 生成于 2026-07-31)
# 口径:meter 有 area(区域)非空 + floor_label(楼层)为空 + 已有读数 —— 共 126 块。
#   其中 84 块连 spot(位置原文)也为空 —— 屏上「楼层·方位」列与池屏标签会显示占位段「(位置未录)」;
#   另 42 块 spot 有原文(如「招商中心门口 1」)但解析不出楼层,屏上照 spot 原文显示,不补占位。
# 「房号线索」列 = 从 标识名|企业名称 里正则抓出的 [A-Za-z]?\d{3,4}(7 块命中,如 219 优凯A305电 → A305),
#   **仅供人工判断,系统不据此反猜楼层**(§G3「不做」:优凯A305电→三楼305室 这类推断有误伤面)。
# 补法:抄表屏点开表档案抽屉,填「楼层/方位/房号」三格保存(§A.3 已做成可编辑,§F6 位掩码只冻结改过的那列)。
# 生成 SQL(只读):
#   SELECT m.id,m.kind,m.zone,b.name,m.area,m.spot,m.floor_label,m.side,m.room_no,m.name,m.tenant_name,
#          m.sub_name,m.ownership,REGEXP_SUBSTR(CONCAT(m.name,'|',COALESCE(m.tenant_name,'')),'[A-Za-z]?[0-9]{3,4}'),
#          COUNT(r.id),MIN(r.ym),MAX(r.ym)
#   FROM meter m JOIN meter_reading r ON r.meter_id=m.id LEFT JOIN building b ON b.id=m.building_id
#   WHERE COALESCE(m.area,'')<>'' AND COALESCE(m.floor_label,'')='' GROUP BY m.id,... ORDER BY m.zone,b.name,m.area,m.name;
表ID	类别	期	楼栋	区域	位置原文	楼层	方位	房号	标识名	企业名称	表号	归属	房号线索	读数条数	首月	末月
1132	water	dorm		公交车站					公交车站		水表①	tenant		2	2024-02	2024-05
841	water	dorm	一期 宿舍一栋	一栋					一栋宿舍总水		总水表	infra		2	2024-02	2024-05
844	water	dorm	一期 宿舍一栋	一栋	门口				低区总水表	低区总水表	总水表	share		2	2024-02	2024-05
843	water	dorm	一期 宿舍一栋	一栋	门口				高区总水表	高区总水表	总水表	share		2	2024-02	2024-05
998	water	dorm	一期 宿舍三栋	三栋					暖通三栋水	开利暖通	水表①	tenant		2	2024-02	2024-05
696	elec	dorm	一期 宿舍三栋	三栋					暖通三栋电表1新表	开利暖通	电表①	tenant		2	2024-02	2024-05
697	elec	dorm	一期 宿舍三栋	三栋					暖通三栋电表2新表	开利暖通	电表②	tenant		2	2024-02	2024-05
997	water	dorm	一期 宿舍二栋	二栋					暖通二栋水	开利暖通	水表①	tenant		2	2024-02	2024-05
693	elec	dorm	一期 宿舍二栋	二栋					暖通二栋电表1新	开利暖通	电表①	tenant		2	2024-02	2024-05
694	elec	dorm	一期 宿舍二栋	二栋					暖通二栋电表2新	开利暖通	电表②	tenant		2	2024-02	2024-05
695	elec	dorm	一期 宿舍二栋	二栋					暖通二栋电表3新	开利暖通	电表③	tenant		2	2024-02	2024-05
835	elec	dorm	一期 宿舍区	一、二栋宿舍路边路灯					一二路灯2			share		2	2024-02	2024-05
836	elec	dorm	一期 宿舍区	三、四栋宿舍路边路灯					三四路灯			share		2	2024-02	2024-05
839	water	dorm	一期 宿舍区	三期工地工人宿舍					工地宿舍水1	接绿化水管水表	水表①	tenant		1	2024-05	2024-05
838	water	dorm	一期 宿舍区	宿舍					宿舍总水		总水表	infra		2	2024-02	2024-05
502	elec	dorm	一期 宿舍区	宿舍					宿舍总电		总电表	infra		2	2024-02	2024-05
1133	water	dorm	一期 宿舍区	宿舍区绿化用水					宿舍绿化水			ops		2	2024-02	2024-05
1134	water	dorm	一期 宿舍区	宿舍区绿化用水公摊					宿舍绿化水公摊			ops		2	2024-02	2024-05
834	elec	dorm	一期 宿舍区	宿舍区路灯					宿舍路灯			share		2	2024-02	2024-05
837	elec	dorm	一期 宿舍区	宿舍区路灯公摊					宿舍路灯公摊			share		2	2024-02	2024-05
1000	water	dorm	一期 宿舍四栋	四栋					原二期工地水	原二期工地	水表①	share		2	2024-02	2024-05
